Load images dataset/generated_cells: 102 
Number of image in Train: 82 | Val: 20
Pretrained model: None
Using device: cuda
Starting training for 500 epochs...
Epoch [201/500]  train_loss: 6.3326  val_loss: 3.6049 iou:0.9046  time: 0.97s lr: 1.00E-03
Epoch [202/500]  train_loss: 6.3387  val_loss: 3.5775 iou:0.9067  time: 1.09s lr: 1.00E-03
Epoch [203/500]  train_loss: 6.2514  val_loss: 3.5618 iou:0.9082  time: 1.12s lr: 1.00E-03
Epoch [204/500]  train_loss: 6.2380  val_loss: 3.5334 iou:0.9085  time: 1.10s lr: 1.00E-03
Epoch [205/500]  train_loss: 6.1285  val_loss: 3.5256 iou:0.9058  time: 1.03s lr: 1.00E-03
Epoch [206/500]  train_loss: 6.0941  val_loss: 3.5145 iou:0.9033  time: 1.00s lr: 1.00E-03
Epoch [207/500]  train_loss: 6.0611  val_loss: 3.5027 iou:0.9021  time: 0.98s lr: 1.00E-03
Epoch [208/500]  train_loss: 6.0284  val_loss: 3.4751 iou:0.9043  time: 1.07s lr: 1.00E-03
Epoch [209/500]  train_loss: 5.9736  val_loss: 3.4633 iou:0.9051  time: 1.07s lr: 1.00E-03
Epoch [210/500]  train_loss: 5.9179  val_loss: 3.4769 iou:0.9020  time: 0.97s lr: 1.00E-03
Epoch [211/500]  train_loss: 5.8802  val_loss: 3.4605 iou:0.9011  time: 1.10s lr: 1.00E-03
Epoch [212/500]  train_loss: 5.8734  val_loss: 3.3938 iou:0.9050  time: 1.10s lr: 1.00E-03
Epoch [213/500]  train_loss: 5.8059  val_loss: 3.3505 iou:0.9054  time: 1.00s lr: 1.00E-03
Epoch [214/500]  train_loss: 5.7597  val_loss: 3.3155 iou:0.9043  time: 1.11s lr: 1.00E-03
Epoch [215/500]  train_loss: 5.7165  val_loss: 3.2837 iou:0.9044  time: 1.10s lr: 1.00E-03
Epoch [216/500]  train_loss: 5.6794  val_loss: 3.2380 iou:0.9070  time: 1.10s lr: 1.00E-03
Epoch [217/500]  train_loss: 5.6677  val_loss: 3.1837 iou:0.9096  time: 1.11s lr: 1.00E-03
Epoch [218/500]  train_loss: 5.5895  val_loss: 3.1619 iou:0.9105  time: 1.10s lr: 1.00E-03
Epoch [219/500]  train_loss: 5.6027  val_loss: 3.1478 iou:0.9106  time: 1.07s lr: 1.00E-03
Epoch [220/500]  train_loss: 5.5256  val_loss: 3.1425 iou:0.9101  time: 1.00s lr: 1.00E-03
Epoch [221/500]  train_loss: 5.4777  val_loss: 3.1276 iou:0.9100  time: 1.10s lr: 1.00E-03
Epoch [222/500]  train_loss: 5.4444  val_loss: 3.1114 iou:0.9097  time: 0.97s lr: 1.00E-03
Epoch [223/500]  train_loss: 5.4381  val_loss: 3.0943 iou:0.9098  time: 1.07s lr: 1.00E-03
Epoch [224/500]  train_loss: 5.3791  val_loss: 3.0826 iou:0.9101  time: 1.10s lr: 1.00E-03
Epoch [225/500]  train_loss: 5.3288  val_loss: 3.0934 iou:0.9093  time: 0.98s lr: 1.00E-03
Epoch [226/500]  train_loss: 5.2873  val_loss: 3.0804 iou:0.9095  time: 1.02s lr: 1.00E-03
Epoch [227/500]  train_loss: 5.2527  val_loss: 3.0454 iou:0.9106  time: 0.97s lr: 1.00E-03
Epoch [228/500]  train_loss: 5.2179  val_loss: 3.0184 iou:0.9105  time: 1.03s lr: 1.00E-03
Epoch [229/500]  train_loss: 5.1728  val_loss: 3.0105 iou:0.9105  time: 1.01s lr: 1.00E-03
Epoch [230/500]  train_loss: 5.1421  val_loss: 3.0092 iou:0.9106  time: 0.98s lr: 1.00E-03
Epoch [231/500]  train_loss: 5.1005  val_loss: 3.0010 iou:0.9105  time: 1.24s lr: 1.00E-03
Epoch [232/500]  train_loss: 5.0754  val_loss: 2.9797 iou:0.9107  time: 1.11s lr: 1.00E-03
Epoch [233/500]  train_loss: 5.0473  val_loss: 2.9501 iou:0.9107  time: 1.09s lr: 1.00E-03
Epoch [234/500]  train_loss: 5.0032  val_loss: 2.9338 iou:0.9107  time: 0.99s lr: 1.00E-03
Epoch [235/500]  train_loss: 4.9687  val_loss: 2.9191 iou:0.9109  time: 1.11s lr: 1.00E-03
